Sl.No.,Slide_No,State,District,Slide_Name,NH_SH_Location,Latitude,Longitude,Material_Involved,Movement_Type,Material_Involved_Clean,Movement_Type_Clean,has_history_date,event_year,slope_deg,rainfall_mm,soil_moisture_mm,label
651,ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao,Mahur railway station slide,"Mahur railway station, Haflong,
Dima Hasao (NC Hills)",25.18955556,93.09641667,Debris,Slide,Debris,Slide,1,2016,0.72,10.10081967,0.477033128,1
652,ASM/DH/83G04/2022-23/045,Assam,Dima Hasao,Natun Basti Slide 4,"Natun Basti, Haflong",25.1638056,93.010861,Debris,Slide,Debris,Slide,1,2022,7.47,7.119672131,0.457205601,1
653,ASM/DH/83G04/2022-23/031,Assam,Dima Hasao,Moulhoi Slide 2,Moulhoi village,25.175,93.01967,Debris,Slide,Debris,Slide,1,2006,5.54,7.690983607,0.476118169,1
654,"ASM/KAMRUP(M)/78N16/2016-
17/62",Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan
Nagar, Guwahati.",26.19552778,91.78055556,Earth,Slide,Earth,Slide,1,2016,6.86,18.51393443,0.474284495,1
655,ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,Moulhoi village,25.17483,93.019861,Debris,Slide,Debris,Slide,1,2022,5.85,7.119672131,0.457205601,1
656,ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,Mahadev Tilla village,25.1568056,93.019722,Debris,Slide,Debris,Slide,1,2022,0.26,7.119672131,0.457205601,1
625,ASM/DH/83G04/2022-23/018,Assam,Dima Hasao,Natun Basti Slide 1,"Natun Basti, Haflong",25.162389,93.010222,Debris,Slide,Debris,Slide,1,2022,8.53,7.119672131,0.457205601,1
626,ASM/DH/83G04/2022-23/019,Assam,Dima Hasao,Natun Basti Slide 2,"Natun Basti, Haflong",25.1625278,93.0103333,Debris,Slide,Debris,Slide,1,2022,9.49,7.119672131,0.457205601,1
627,ASM/DH/83G04/2022-23/020,Assam,Dima Hasao,Natun Basti Slide 3,"Natun Basti, Haflong",25.162472,93.01044,Debris,Slide,Debris,Slide,1,2022,8.53,7.119672131,0.457205601,1
628,ASM/DH/83G04/2022-23/009,Assam,Dima Hasao,Fiangpui Subsidence,"Fiangpui, Haflong",25.17175,93.00726,Debris,Subsidence,Debris,Subsidence,1,2022,0.82,7.119672131,0.457205601,1
629,ASM/DH/83G04/2022-23/028,Assam,Dima Hasao,Bethany Slide 1,"Bethany, Haflong",25.16649,93.01092,Debris,Slide,Debris,Slide,1,2022,0.93,7.119672131,0.457205601,1
630,ASM/DH/83G04/2022-23/029,Assam,Dima Hasao,Dibarai Slide,Dibarai village,25.170194,93.007389,Debris,Slide,Debris,Slide,1,2022,0.31,7.119672131,0.457205601,1
631,ASM/DH/83G04/2022-23/046,Assam,Dima Hasao,Fiangpui Slide 2,"Fiangpui, Haflong",25.17144,93.005694,Debris,Slide,Debris,Slide,1,2022,1.96,7.119672131,0.457205601,1
632,ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,South Bagetar,25.16579,93.00948,Debris,Slide,Debris,Slide,1,2022,7.47,7.119672131,0.457205601,1
633,ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,"Kana Basti, Haflong",25.15859,93.01292,Debris,Slide,Debris,Slide,1,2022,5.59,7.119672131,0.457205601,1
366,AS/KAM/78O5/2020/3,Assam,Kamrup (Rural),Ukiam slide,Ukiam,25.84,91.35,Debris,Slide,Debris,Slide,1,2018,1.18,9.990983607,0.49370526,1
634,"AS/KAMRUP(M)/78N16/2014-
15/0006",Assam,Kamrup (Metro),"Dakhingaon, slide.","Near Kahilipara-Ganesh mandir
road.",26.13441667,91.74875,Debris,Flow,Debris,Flow,1,2014,0.77,18.6204918,0.474091189,1
636,"AS/KAMRUP(M)/78N16/2014-
15/0007",Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,"About 500 m south of Game
village, Lalmati, NH-37",26.10711111,91.78916667,Earth,Flow,Earth,Flow,1,2014,0.57,21.50901639,0.473806694,1
637,"AS/KAMRUP/78N12/2015-
16/0004",Assam,Kamrup,Jorabat-Khanapara,"About 200 m North of NH-31, In
front of IIT(G) approach",26.09961111,91.87811111,Earth,Slide the loose soil from top (already cut in the area) due to heavy rain.,Earth,Slide,1,2014,6.46,22.83360656,0.477259563,1
638,"AS/KAMRUP/78N12/2015-
16/0003",Assam,Kamrup,"Kalapahar, Binobha Nagar.",Paltan Bazar-Lakhra Road,26.14944444,91.748,Earth,Slide,Earth,Slide,1,2014,4.88,18.6204918,0.474091189,1
640,ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,"Mahadev Tilla, Haflong",25.15556,93.021583,Debris,Slide,Debris,Slide,1,2022,3.14,7.119672131,0.457205601,1
614,AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,"Garo Basti Slide, 8th Mile,
Guwahati",26.11464,91.83886,Earth,Slide,Earth,Slide,1,2024,2.52,15.05983607,0.474773907,1
619,AS/CAC/83D09/2025/4,Assam,Cachar,Naraincherra landslide,Balicherra Grant,24.96756,92.74392,Debris,Slide,Debris,Slide,1,2025,1.8,16.19754098,0.47467623,1
620,AS/CAC/83D09/2025/5,Assam,Cachar,Ujan Nagar Landslide,Ujan Nagar,24.95794,92.73201,Debris,Slide,Debris,Slide,1,2025,2.88,18.99098361,0.484160519,1
621,AS/CAC/83D09/2025/6,Assam,Cachar,Thandacharra Landslide,Borkhola,24.95054,92.731458,Earth,Slide,Earth,Slide,1,2025,0.26,18.99098361,0.484160519,1
622,AS/CAC/83D09/2025/7,Assam,Cachar,Natun Basti Landslide,Borkhola,24.94756,92.73097,Earth,Slide,Earth,Slide,1,2025,1.34,18.99098361,0.484160519,1
623,ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,South Bagetar,25.16736,93.00953,Debris,Slide,Debris,Slide,1,2022,2.62,7.119672131,0.457205601,1
624,ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,"Kana Basti, Haflong",25.16023,93.01084,Debris,Slide,Debris,Slide,1,2022,5.64,7.119672131,0.457205601,1
548,ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,"Babubasti–Panikhaiti road
section/Bonda colony, Amgaon",26.37456,91.84561,Earth,Slide,Earth,Slide,1,2017,0.05,14.81967213,0.496485314,1
513,ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,"Babubasti–Panikhaiti road
section/Bonda colony, Amgaon",26.19081,91.84528,Earth,Slide,Earth,Slide,1,2017,0.57,14.92868852,0.496072746,1
516,ASM/KMP/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,"Mandakini path, Kharghuli",26.192444,91.764222,Earth,Slide,Earth,Slide,1,2016,2.62,18.51393443,0.474284495,1
517,AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,"Hastinapur Near Jorabat
opposite of Cow bazaar",26.195306,91.765639,Debris,Slide,Debris,Slide,1,2018,2.47,12.09262295,0.493233607,1
518,ASM/KMP/78N16/2016/62,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,"Njiura Par Path, Piyali Phukan
Nagar, Guwahati",26.195528,91.780556,Earth,Slide,Earth,Slide,1,2016,6.86,18.51393443,0.474284495,1
519,AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,Chandmari Road,26.19622,91.76336,Earth,Flow,Earth,Flow,1,2011,2.31,19.32459016,0.477900273,1
522,ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,"Panikhaiti, Bongaon, near
railway line.",26.20536,91.86497,Debris,Slide,Debris,Slide,1,2017,1.39,14.92868852,0.496072746,1
500,ASM/NAG/83B08/2017/46,Assam,Nagaon,Rengbeng tea garden slide,Rengbeng tea garden,26.172917,92.762778,Debris,Slide,Debris,Slide,1,2016,12.17,12.8295082,0.472949112,1
501,ASM/KMP/78N16/2016/65,Assam,Kamrup (Metro),West Sarania slide,"Pub Sarania hill, Guwahati",26.1755,91.76175,Debris,Slide,Debris,Slide,1,2016,0.51,18.51393443,0.474284495,1
503,ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,Ganpat Mandir road,26.17672,91.76525,Debris,Slide,Debris,Slide,1,2017,0.05,15.68606557,0.496560792,1
504,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,Ganpat Mandir road,26.17756,91.76589,Debris,Slide,Debris,Slide,1,2017,0.21,15.68606557,0.496560792,1
506,ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,Tuinang colony,26.18842,91.85125,Earth,Slide,Earth,Slide,1,2017,5.29,14.92868852,0.496072746,1
510,ASM/KMP/78N16/2016/57,Assam,Kamrup (Metro),Jyotinagar Slide,"Akashi Nagar, Jyoti Nagar,
Guwahati.",26.1895,91.787167,Earth,Slide,Earth,Slide,1,2016,4.88,18.51393443,0.474284495,1
512,ASM/KMP/78N16/2016/64,Assam,Kamrup (Metro),Nijabara slide (Guwahati),"Noonmati, Guwahati",26.190389,91.809944,Earth,Slide,Earth,Slide,1,2016,4.47,18.51393443,0.474284495,1
481,ASM/NAG/83B08/2017/01,Assam,Nagaon,Amsoi- Amtrang road slide No.1,"~1.2 Km East of Rongphigaon,
Amsoi- Amtrang road",26.119417,92.439972,Earth,Slide,Earth,Slide,1,2015,3.85,26.81147541,0.475751025,1
393,AS/KAM/78O5/2020/2,Assam,Kamrup (Rural),Rajupara slide,East of Rajupara village,25.91,91.4,Debris,Slide,Debris,Slide,1,2017,0.41,17.64754098,0.497815574,1
395,ASM/WKA/83B08/2017/45,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.5,"~1.5 Km West of Umpanai.
Sunani - Umpanai road",25.946611,92.305361,Debris,Slide,Debris,Slide,1,2015,2.16,26.87704918,0.47888832,1
396,AS/KAM/78O5/2020/1,Assam,Kamrup (Rural),Khaksi Sikrabura slide,Boko-Baghmara road,25.95,91.28,Debris,Slide,Debris,Slide,1,2019,1.6,12.55491803,0.484785178,1
490,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,Hengrabari,26.15428,91.79264,Debris,Slide,Debris,Slide,1,2017,3.29,15.68606557,0.496560792,1
465,ASM/NAG/83B08/2017/07,Assam,Nagaon,Amsoi-Amtrang road slide No.7,Amsoi- Amtrang road,26.10725,92.44,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2013,3.65,17.98196721,0.475302937,1
467,ASM/NAG/83B08/2017/06,Assam,Nagaon,Amsoi-Amtrang road slide No.6,Amsoi- Amtrang road,26.108417,92.440222,Debris,Slide,Debris,Slide,1,2013,5.49,17.98196721,0.475302937,1
469,AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,"Between NFR Bridge No. 305
and Tunnel No. 19 (~2 km SW of
Bandarkhal Railway Station).",26.11,94.76,Debris,Slide,Debris,Slide,1,2018,17.5,21.81147541,0.494035519,1
471,ASM/NAG/83B08/2017/05,Assam,Nagaon,Amsoi-Amtrang road slide No.5,Amsoi- Amtrang road,26.110139,92.439333,Debris,Slide,Debris,Slide,1,2014,2.88,22.2442623,0.475599385,1
474,AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,NH37 towards Shillong.,26.112667,91.853889,Debris,Slide,Debris,Slide,1,2018,0.21,10.69918033,0.492427596,1
475,ASM/NAG/83B08/2017/15,Assam,Nagaon,Amsoi-Amtrang road slide No.15,Amsoi- Amtrang road,26.113639,92.441222,Debris,Slide,Debris,Slide,1,2010,5.54,23.0204918,0.47669194,1
477,ASM/NAG/83B08/2017/04,Assam,Nagaon,Amsoi-Amtrang road slide No.4,Amsoi- Amtrang road,26.116972,92.440083,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2014,5.49,22.2442623,0.475599385,1
478,ASM/NAG/83B08/2017/03,Assam,Nagaon,Amsoi-Amtrang road slide No.3,Amsoi- Amtrang road,26.117111,92.441028,Debris,Slide,Debris,Slide,1,2014,5.24,22.2442623,0.475599385,1
479,ASM/NAG/83B08/2017/35,Assam,Nagaon,Amsoi Nala slide,"Amsoi nala, Amsoi- Amtrang
road",26.117417,92.438667,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2016,4.32,18.65163934,0.476630123,1
480,ASM/NAG/83B08/2017/02,Assam,Nagaon,Amsoi-Amtrang road slide No.2,"~1.5 Km East of Rongphigaon,
Amsoi- Amtrang road",26.118167,92.440944,Earth,Slide,Earth,Slide,1,2012,5.64,22.18606557,0.476885246,1
452,AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,"Between Phiding and Dautohaja
Railway Station, NFR.",26.098167,91.881278,Debris,Slide,Debris,Slide,1,2018,6.05,10.69918033,0.492427596,1
455,ASM/NAG/83B08/2017/12,Assam,Nagaon,Amsoi-Amtrang road slide No.12,Amsoi- Amtrang road,26.101333,92.440556,Debris,Slide,Debris,Slide,1,2011,6.31,20.24016393,0.476615437,1
412,ASM/WKA/83B08/2017/40,Assam,West Karbi Anglong,Nellie-Umswai road slide No.6,Nellie - Umpanai-Umswai road,26.012,92.264167,Debris,Slide,Debris,Slide,1,2016,3.7,21.8295082,0.475299863,1
413,ASM/WKA/83B08/2017/39,Assam,West Karbi Anglong,Nellie-Umswai road slide No.5,Nellie - Umpanai-Umswai road,26.013528,92.266083,Debris,Slide,Debris,Slide,1,2016,4.21,21.8295082,0.475299863,1
415,ASM/WKA/83B08/2017/38,Assam,West Karbi Anglong,Nellie-Umswai road slide No.4,"~500 meter North of Asukunchi,
Nellie - Umpanai-Umswai road",26.022833,92.274028,Earth,Slide,Earth,Slide,1,2016,3.7,21.8295082,0.475299863,1
457,ASM/NAG/83B08/2017/11,Assam,Nagaon,Amsoi-Amtrang road slide No.11,Amsoi- Amtrang road,26.102167,92.440472,Earth,Slide,Earth,Slide,1,2010,5.08,23.0204918,0.47669194,1
458,ASM/NAG/83B08/2017/08,Assam,Nagaon,Amsoi-Amtrang road slide No.8,Amsoi- Amtrang road,26.102333,92.4415,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2012,5.54,22.18606557,0.476885246,1
459,ASM/NAG/83B08/2017/09,Assam,Nagaon,Amsoi-Amtrang road slide No.9,Amsoi- Amtrang road,26.102667,92.441639,Rock cum Debris,Slide,Debris cum Rock,Slide,1,2013,5.85,17.98196721,0.475302937,1
461,ASM/NAG/83B08/2017/10,Assam,Nagaon,Amsoi-Amtrang road slide No.10,Amsoi- Amtrang road,26.103028,92.440889,Earth,Slide,Earth,Slide,1,2011,5.85,20.24016393,0.476615437,1
433,ASM/WKA/83B08/2017/25,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.22,"~1.5 Km South-East
ofTakbigang, Amsoi- Amtrang
road",26.045472,92.457417,Earth,Slide,Earth,Slide,1,2016,1.9,18.65163934,0.476518443,1
435,ASM/WKA/83B08/2017/20,Assam,West Karbi Anglong,Barimgaon slide,"East of Barimgaon, Amsoi-
Amtrang road",26.048611,92.432194,Earth,Slide,Earth,Slide,1,2016,0.72,18.65163934,0.475654372,1
417,ASM/WKA/83B08/2017/32,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.29,"~1.5 Km North of Duronggaon,
Amsoi- Amtrang road",26.030972,92.474139,Earth,Slide,Earth,Slide,1,2014,1.34,22.2442623,0.475848019,1
418,ASM/WKA/83B08/2017/30,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.27,Amsoi- Amtrang road,26.031528,92.472778,Earth,Slide,Earth,Slide,1,2016,1.29,18.65163934,0.476518443,1
419,ASM/WKA/83B08/2017/31,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.28,"~1.2 Km North of Duronggaon,
Amsoi- Amtrang road",26.031583,92.47375,Earth,Slide,Earth,Slide,1,2014,1.34,22.2442623,0.475848019,1
421,ASM/WKA/83B08/2017/28,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.25,Amsoi- Amtrang road,26.033556,92.468056,Debris,Slide,Debris,Slide,1,2014,3.96,22.2442623,0.475848019,1
422,ASM/WKA/83B08/2017/29,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.26,Amsoi- Amtrang road,26.035278,92.470861,Debris,Slide,Debris,Slide,1,2010,1.6,23.0204918,0.478961066,1
424,ASM/WKA/83B08/2017/27,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.24,Amsoi- Amtrang road,26.039194,92.4595,Debris,Slide,Debris,Slide,1,2014,3.5,22.2442623,0.475848019,1
429,ASM/WKA/83B08/2017/21,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.18,"~1 Km North-East of Dolaigaon,
Amsoi- Amtrang road",26.043583,92.440528,Debris,Slide,Debris,Slide,1,2016,2.42,18.65163934,0.475654372,1
430,ASM/WKA/83B08/2017/26,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.23,Amsoi- Amtrang road,26.043583,92.452222,Debris,Slide,Debris,Slide,1,2014,5.34,22.2442623,0.475848019,1
431,ASM/WKA/83B08/2017/22,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.19,"~1.2 Km North-East of
Dolaigaon, Amsoi- Amtrang
road",26.043611,92.440944,Debris,Slide,Debris,Slide,1,2016,2.62,18.65163934,0.475654372,1
432,ASM/WKA/83B08/2017/23,Assam,West Karbi Anglong,Amsoi-Amtrang road slide No.20,"~1.5 Km North-East of
Dolaigaon, Amsoi- Amtrang
road",26.043722,92.441472,Debris,Slide,Debris,Slide,1,2015,2.62,26.81147541,0.475563183,1
406,ASM/WKA/83B08/2017/43,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.3,"~500 meter South of Silaguri,
Sunani - Umpanai road",25.96667,92.356917,Earth,Slide,Earth,Slide,1,2016,2.67,21.8295082,0.475654372,1
408,ASM/WKA/83B08/2017/41,Assam,West Karbi Anglong,Amsoi-Umpanai road slide No.1,"~1.5 Km South of Mortin,
Sunani - Umpanai road",25.977194,92.354778,Debris,Slide,Debris,Slide,1,2016,0.51,21.8295082,0.475654372,1
37,ASM/HLK/83D10/2020/005,Assam,Hailakandi,Mohanpur Grant Slide 3,"Mohanpur Grant, Hailakandi
Circle.",24.73117,92.64739,Debris,Slide,Debris,Slide,1,2020,0.31,11.86147541,0.492546107,1
38,ASM/KGJ/83D05/2020/0008,Assam,Karimganj,Karimpur Slide 2,"Karimpur, Nilam Bazar",24.78002778,92.45372222,Earth,Slide,Earth,Slide,1,2020,1.54,12.20081967,0.492140369,1
39,ASM/KGJ/83D05/2020/007,Assam,Karimganj,Karimpur Slide 1,"Karimpur, Nilam Bazar",24.78380556,92.45563889,Earth,Slide,Earth,Slide,1,2020,0.15,12.20081967,0.492140369,1
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,"Bowarthar, Chandipur, Algapur
Circle.",24.79489,92.55506,Debris,Slide,Debris,Slide,1,2020,0.05,12.65819672,0.494373975,1
45,AS/CHR/83D09/2020/8,Assam,Cachar,Borkola Cyan Nagar slide,Borkola Cyan Nagar Natun Basti,24.95,92.73,Debris,Slide,Debris,Slide,1,2018,1.75,19.30737705,0.494880464,1
27,AS/CHR/83D14/2020/7,Assam,Cachar,Panibara slide,Panibara,24.62,92.84,Debris,Slide,Debris,Slide,1,2019,0.62,12.87213115,0.404130123,1
29,AS/CHR/83D14/2020/1,Assam,Cachar,Bhuban Nagar slide,Bhuban Nagar,24.64,92.98,Debris,Slide,Debris,Slide,1,2019,1.08,14.99590164,0.404481899,1
30,ASM/CCR/83H2/2016/66,Assam,Cachar,Khasiapunji slide,Khasiapunji village,24.645417,93.005361,Debris,Slide,Debris,Slide,1,2016,4.72,13.79180328,0.411783128,1
31,ASM/KRGJ/83D06/2016/61,Assam,Karimganj,Rakhalbasti,"Rakhalbasti, near Sonaicherra
TG. Under Ram Krishna",24.659389,92.497361,Earth,Slide,Earth,Slide,1,2016,0.51,13.41065574,0.478529372,1
8,ASM/HLKD/83D10/2016/58,Assam,Hailakandi,Terracherra Slide,Terracherra area,24.478972,92.682861,Debris,Slide,Debris,Slide,1,2016,0.36,14.15409836,0.411174863,1
2080,7583,Arunachal Pradesh,Lower Siang,Magi basti,"Roadside landslide near Magi
basti",27.715081,94.692035,Debris,slide,Debris,Slide,1,2026,3.24,18.53622951,0.40366127,1
2078,7386,Arunachal Pradesh,Papum Pare,Niti Vihar,Unknown,27.099285,93.614766,Soil,subsidence,Soil,Subsidence,1,2026,0.77,15.31327869,0.492465437,1
16,AS/HKN/83D10/2020/3,Assam,Hailakandi,Dinanathpur slide,Dinanathpur,24.52,92.53,Debris,Slide,Debris,Slide,0,,0.67,12.93385246,0.40283224,1
1,ASM/HKN/83D07/2020/2,Assam,Hailakandi,Kukinala slide,Kukinala,24.27,92.5,Debris,Slide,Debris,Slide,0,,0,12.93385246,0.40283224,1
2,AS/HKN/83D11/2020/1,Assam,Hailakandi,Jalnachaura slide,Jalnachaura,24.31,92.56,Debris,Slide,Debris,Slide,0,,0.1,12.93385246,0.40283224,1
3,AS/HKN/83D10/2020/6,Assam,Hailakandi,Nandagram slide,Nandagram Pt. I,24.32,92.51,Debris,Slide,Debris,Slide,0,,2.37,12.93385246,0.40283224,1
4,AS/HKN/83D11/2020/4,Assam,Hailakandi,Nishkar slide,Mahapur,24.43,92.55,Debris,Slide,Debris,Slide,0,,0.1,12.93385246,0.40283224,1
5,AS/KRJ/83D07/2020/1,Assam,Karimganj,Paglacherra slide,PaglacherraPunj,24.44,92.5,Rock,Slide,Rock,Slide,0,,2.62,14.74991803,0.486073531,1
1825,AR/WS/82L16/2022/080,Arunachal Pradesh,West Siang,Jomlo-Mongku Slide 3,NH-13,28.506306,94.873361,Debris,Slide,Debris,Slide,0,,20.72,18.93540984,0.409689037,1
1826,AR/US/82P02/2022/058,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 5,NH-513,28.509,95.177639,Debris,Slide,Debris,Slide,0,,4.98,17.53991803,0.40713627,1
1827,AR/US/82P04/2022/057,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 4,NH-513,28.510528,95.177722,Debris,Slide,Debris,Slide,0,,4.21,17.53991803,0.40713627,1
1828,AR/US/82P04/2022/054,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 2,NH-513,28.512056,95.1805,Debris,Slide,Debris,Slide,0,,1.8,17.53991803,0.40713627,1
1829,AR/US/82P04/2022/056,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 3,NH-513,28.514083,95.178278,Rock,Slide,Rock,Slide,0,,1.7,17.53991803,0.40713627,1
1830,AR/US/82P04/2022/055,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 2,NH-513,28.516083,95.178028,Rock,Slide,Rock,Slide,0,,2.67,17.53991803,0.40713627,1
1831,AR/US/82P02/2022/059,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 6,NH-513,28.522806,95.172639,Rock,Slide,Rock,Slide,0,,2.67,17.53991803,0.40713627,1
1832,AR/US/82P02/2022/060,Arunachal Pradesh,Upper Siang,Mariyang-Yingkiong road Slide 7,NH-513,28.527722,95.173556,Rock,Fall,Rock,Fall,0,,3.29,17.53991803,0.40713627,1
1833,AP/SY/83I01/2021/14,Arunachal Pradesh,Shi-Yomi,Mechuka town slide 2,Near Mechuka town,28.527944,94.309444,Debris,Slide,Debris,Slide,0,,8.48,22.71565574,0.418150137,1
63,AS/CHR/83C12/2020/3,Assam,Cachar,Ekala Basti slide,Ekala Basti (Railway line),24.98,92.72,Debris,Slide,Debris,Slide,0,,0.41,16.40983607,0.487502186,1
33,AS/KRM/83D06/2014/01,Assam,Karimganj,Satkaragul,NH-44,24.70619,92.28997,Earth,Flow,Earth,Flow,0,,0.77,14.74991803,0.486073531,1
10,AS/HKN/83D10/2020/7,Assam,Hailakandi,Kurttathal slide,Nunaikhal,24.51,92.64,Debris,Slide,Debris,Slide,0,,1.54,12.93385246,0.40283224,1
17,AS/HKN/83D10/2020/8,Assam,Hailakandi,Lala Chaura Bagan slide,Lala Chaura Bagan,24.53,92.63,Debris,Slide,Debris,Slide,0,,0.98,12.93385246,0.40283224,1
18,AS/CHR/83D14/2020/4,Assam,Cachar,Raj Nagar Slide,Raj Nagar,24.53,92.84,Debris,Slide,Debris,Slide,0,,0.21,16.40983607,0.487502186,1
19,AS/CHR/83D14/2020/5,Assam,Cachar,Shymacharanpur slide,Shyamacharanpur,24.53,92.84,Debris,Slide,Debris,Slide,0,,0.21,16.40983607,0.487502186,1
20,AS/HKN/83D10/2020/11,Assam,Hailakandi,Nubarnapur slide,Lalamukh village,24.54,92.63,Debris,Slide,Debris,Slide,0,,0.98,12.93385246,0.40283224,1
442,AS/KAM/83B4/2015/97,Assam,Kamrup,Enroute Noonmati-2,"En-route Noonmati-2, Kamrup",26.065167,92.150639,Debris,Slide,Debris,Slide,0,,0.15,13.51032787,0.482562705,1
443,AS/KAM/78N12/2015/100,Assam,Kamrup,Garbhanga RF,"Garbhanga Reserved Forest,
Kamrup",26.071556,91.734028,Debris,Slide,Debris,Slide,0,,0.41,13.51032787,0.482562705,1
444,AS/KAM/78N16/2015/86,Assam,Kamrup,Langdong,"Langdong, Kamrup",26.077653,91.982292,Debris,Slide,Debris,Slide,0,,4.88,13.51032787,0.482562705,1
445,AS/KAM/83B4/2015/94,Assam,Kamrup,"Tapatali, Nadighat","Tapatali, Nadighat, Kamrup",26.077806,92.170389,Debris,Slide,Debris,Slide,0,,0.05,13.51032787,0.482562705,1
447,AS/KAM/83B4/2015/90,Assam,Kamrup,Naukuchi,"Naukuchi, en-route to
Magursila, Kamrup",26.080139,92.032667,Debris,Slide,Debris,Slide,0,,1.24,13.51032787,0.482562705,1
448,AS/KAM/83B4/2015/96,Assam,Kamrup,Gharara-3,"Gharara-3, Kamrup",26.083972,92.14525,Debris,Slide,Debris,Slide,0,,0.15,13.51032787,0.482562705,1
420,ASM/WKA/83B08/2017/37,Assam,West Karbi Anglong,Nellie-Umswai road slide No.4,Nellie - Umpanai-Umswai road,26.03275,92.271861,Debris,Slide,Debris,Slide,0,,3.24,14.97122951,0.486417452,1
423,ASM/WKA/83B08/2017/36,Assam,West Karbi Anglong,Nellie-Umswai road slide No.3,Nellie - Umpanai-Umswai road,26.036583,92.273056,Debris,Slide,Debris,Slide,0,,7.52,14.97122951,0.486417452,1
425,ASM/WKA/83B08/2017/19,Assam,West Karbi Anglong,Nellie-Umswai road slide No.2,Nellie - Umpanai-Umswai road,26.039361,92.273806,Rock cum Debris,Slide,Debris cum Rock,Slide,0,,2.21,14.97122951,0.486417452,1
426,AS/KAM/83B04/2018/3,Assam,Kamrup,Barakasarong,Barkasarong,26.0405,92.0355,Debris,Slide,Debris,Slide,0,,0.87,13.51032787,0.482562705,1
427,ASM/WKA/83B08/2017/18,Assam,West Karbi Anglong,Nellie-Umswai road slide No.1,Nellie - Umpanai-Umswai road,26.042139,92.27525,Rock cum Debris,Slide,Debris cum Rock,Slide,0,,4.01,14.97122951,0.486417452,1
428,AS/KAM/83B4/2015/92,Assam,Kamrup,Kalangpur,"Enroute to Kasangmala, Kamrup",26.043267,92.055531,Earth,Slide,Earth,Slide,0,,14.26,13.51032787,0.482562705,1
